Club,Year,Domestic_TV_Money 
Manchester United,2009-12-31,58200000
Liverpool FC,2009-12-31,56800000
Chelsea FC,2009-12-31,53900000
Arsenal FC,2009-12-31,52500000
Everton FC,2009-12-31,50600000
Aston Villa,2009-12-31,50300000
Fulham FC,2009-12-31,48000000
Tottenham Hotspur,2009-12-31,45700000
West Ham United,2009-12-31,45300000
Manchester City,2009-12-31,45300000
Wigan Athletic,2009-12-31,41800000
Stoke City,2009-12-31,41000000
Bolton Wanderers,2009-12-31,41000000
Portsmouth FC,2009-12-31,40100000
Blackburn Rovers,2009-12-31,39200000
Sunderland AFC,2009-12-31,38900000
Hull City,2009-12-31,37500000
Newcastle United,2009-12-31,36700000
Middlesbrough FC,2009-12-31,35100000
West Bromwich Albion,2009-12-31,34900000
Chelsea FC,2010-12-31,62338220
Manchester United,2010-12-31,62535280
Arsenal FC,2010-12-31,61020160
Tottenham Hotspur,2010-12-31,58362800
Manchester City,2010-12-31,58559860
Aston Villa,2010-12-31,54190304.66
Liverpool FC,2010-12-31,56670680
Everton FC,2010-12-31,50587780
Birmingham City,2010-12-31,48501540
Blackburn Rovers,2010-12-31,48698600
Stoke City,2010-12-31,46020000
Fulham FC,2010-12-31,45076000
Sunderland AFC,2010-12-31,44132000
Bolton Wanderers,2010-12-31,43188000
Wolverhampton Wanderers,2010-12-31,42244000
Wigan Athletic,2010-12-31,41318880
West Ham United,2010-12-31,40946000
Burnley FC,2010-12-31,40000820
Hull City,2010-12-31,38468000
Portsmouth FC,2010-12-31,37524000
Manchester United,2011-12-31,71306220
Chelsea FC,2011-12-31,68133200
Manchester City,2011-12-31,65530120
Arsenal FC,2011-12-31,66346680
Tottenham Hotspur,2011-12-31,62604900
Liverpool FC,2011-12-31,65131280
Everton FC,2011-12-31,58528000
Fulham FC,2011-12-31,56290720
Aston Villa,2011-12-31,57893160
Sunderland AFC,2011-12-31,54720140
West Bromwich Albion,2011-12-31,53258120
Newcastle United,2011-12-31,55784500
Stoke City,2011-12-31,51471600
Bolton Wanderers,2011-12-31,50578340
Blackburn Rovers,2011-12-31,49686260
Wigan Athletic,2011-12-31,48793000
Wolverhampton Wanderers,2011-12-31,47899740
Birmingham City,2011-12-31,47006480
Blackpool FC,2011-12-31,46114400
West Ham United,2011-12-31,47500900
Manchester City,2012-12-31,71510360
Manchester United,2012-12-31,71183500
Arsenal FC,2012-12-31,66343140
Tottenham Hotspur,2012-12-31,67708400
Newcastle United,2012-12-31,63997300
Chelsea FC,2012-12-31,64234480
Everton FC,2012-12-31,57702000
Liverpool FC,2012-12-31,64144800
Fulham FC,2012-12-31,55920200
West Bromwich Albion,2012-12-31,55029300
Swansea City,2012-12-31,54138400
Norwich City,2012-12-31,53808000
Sunderland AFC,2012-12-31,52355420
Stoke City,2012-12-31,51459800
Wigan Athletic,2012-12-31,50573620
Aston Villa,2012-12-31,49678000
Queens Park Rangers,2012-12-31,51049160
Bolton Wanderers,2012-12-31,47900920
Blackburn Rovers,2012-12-31,47574060
Wolverhampton Wanderers,2012-12-31,46119120
Manchester United,2013-12-31,71759340
Manchester City,2013-12-31,68605200
Chelsea FC,2013-12-31,64894100
Arsenal FC,2013-12-31,67389800
Tottenham Hotspur,2013-12-31,65933680
Everton FC,2013-12-31,61088600
Liverpool FC,2013-12-31,64714740
West Bromwich Albion,2013-12-31,57045920
Swansea City,2013-12-31,56153840
West Ham United,2013-12-31,57520280
Norwich City,2013-12-31,54369680
Fulham FC,2013-12-31,53477600
Stoke City,2013-12-31,52587880
Southampton FC,2013-12-31,51694620
Aston Villa,2013-12-31,53061060
Newcastle United,2013-12-31,53298240
Sunderland AFC,2013-12-31,51276900
Wigan Athletic,2013-12-31,48126300
Reading FC,2013-12-31,47234220
Queens Park Rangers,2013-12-31,46907360
Manchester City,2014-12-31,116000000
Liverpool FC,2014-12-31,117000000
Chelsea FC,2014-12-31,113000000
Arsenal FC,2014-12-31,111500000
Everton FC,2014-12-31,102000000
Tottenham Hotspur,2014-12-31,107500000
Manchester United,2014-12-31,107000000
Southampton FC,2014-12-31,92000000
Stoke City,2014-12-31,91000000
Newcastle United,2014-12-31,93000000
Crystal Palace,2014-12-31,88000000
Swansea City,2014-12-31,89000000
West Ham United,2014-12-31,88500000
Sunderland AFC,2014-12-31,86000000
Aston Villa,2014-12-31,87000000
Hull City,2014-12-31,80500000
West Bromwich Albion,2014-12-31,79000000
Norwich City,2014-12-31,77500000
Fulham FC,2014-12-31,76000000
Cardiff City,2014-12-31,74500000
Chelsea FC,2015-12-31,124000000
Manchester City,2015-12-31,124000000
Arsenal FC,2015-12-31,121000000
Manchester United,2015-12-31,121000000
Tottenham Hotspur,2015-12-31,111000000
Liverpool FC,2015-12-31,116000000
Southampton FC,2015-12-31,103000000
Swansea City,2015-12-31,100000000
