Team_id,Teams,Country_id
7001,SL Benfica,700
7002,FC Porto,700
7003,Sporting CP,700
7004,Vitória Guimarães SC,700
7005,Belenenses SAD,700
7006,Vitória Setúbal FC,700
7007,SC Braga,700
7008,Boavista FC,700
7009,Académica Coimbra,700
7010,CS Marítimo,700
7011,Rio Ave FC,700
7012,SC Beira-Mar,700
7013,SC Farense,700
7014,Leixões SC,700
7015,CD da CUF Barreiro,700
7016,Varzim SC,700
7017,FC Paços de Ferreira,700
7018,SC Salgueiros,700
7019,Gil Vicente FC,700
7020,nan,700
7021,CD Nacional,700
7022,GD Estoril Praia,700
7023,União de Leiria,700
7024,Portimonense SC,700
7025,GD Chaves,700
7026,CF Estrela Amadora SAD,700
7027,FC Barreirense,700
7028,FC Penafiel,700
7029,Atlético CP,700
7030,Lusitano GC,700
7031,Moreirense FC,700
7032,SC Espinho,700
7033,SC Olhanense,700
7034,FC Tirsense,700
7035,Sporting Covilhã,700
7036,FC Famalicão,700
7037,CD Feirense,700
7038,Desportivo Aves,700
7039,CF União Madeira,700
7040,União Torreense,700
7041,União Tomar,700
7042,CD Santa Clara,700
7043,CD Tondela,700
7044,FC Alverca,700
7045,SC Campomaiorense,700
7046,Naval 1º de Maio,700
7047,FC Arouca,700
7048,Oriental de Lisboa,700
7049,Académico de Viseu,700
7050,Caldas SC,700
7051,Montijo,700
7052,Leça FC,700
7053,AD Sanjoanense,700
7054,Amora FC,700
7055,O Elvas,700
7056,Seixal,700
7057,CD Trofense,700
7058,GD Riopele,700
7059,R.D. Águeda,700
7060,União Coimbra,700
7061,FC Vizela,700
7062,FC Felgueiras 1932,700
7063,AD Fafe,700
7064,GC Alcobaça,700
8001,São Paulo FC,800
8002,Santos FC,800
8003,Flamengo RJ,800
8004,Fluminense RJ,800
8005,Athletico Paranaense,800
8006,Corinthians SP,800
8007,Grêmio Porto Alegre,800
8008,Internacional,800
8009,Cruzeiro,800
8010,Atlético Mineiro,800
8011,Botafogo - RJ,800
8012,Palmeiras,800
8013,Vasco da Gama,800
8014,Goiás,800
8015,Coritiba FC,800
8016,Figueirense - SC,800
8017,Sport - PE,800
8018,Vitória - BA,800
8019,Ponte Preta,800
8020,Bahia - BA,800
8021,Chapecoense,800
8022,Avaí - SC,800
8023,Paraná Clube,800
8024,Juventude - RS,800
8025,Atlético Goianiense,800
8026,Fortaleza,800
8027,Ceará - CE,800
8028,Náutico - PE,800
8029,Criciúma - SC,800
8030,São Caetano - SP,800
8031,América - MG,800
8032,Portuguesa - SP,800
8033,Guarani - SP,800
8034,Paysandu - PA,800
8035,Santa Cruz - PE,800
8036,Grêmio Prudente,800
8037,Brasiliense - DF,800
8038,Joinville - SC,800
8039,Red Bull Bragantino,800
8040,Santo André - SP,800
8041,Grêmio Barueri - SP,800
8042,América - RN,800
8043,Ipatinga FC,800
8044,CSA - AL,800
6001,Ajax Amsterdam,600
6002,PSV Eindhoven,600
6003,Sparta Rotterdam,600
6004,FC Twente,600
6005,FC Utrecht,600
6006,NAC Breda,600
6007,Feyenoord Rotterdam,600
6008,Willem II,600
6009,Roda JC Kerkrade,600
6010,AZ Alkmaar,600
6011,FC Groningen,600
6012,NEC Nijmegen,600
6013,MVV Maastricht,600
6014,Vitesse,600
6015,ADO Den Haag,600
6016,Go Ahead Eagles,600
6017,sc Heerenveen,600
6018,RKC Waalwijk,600
6019,FC Volendam,600
6020,VVV-Venlo,600
6021,SBV Excelsior,600
6022,Fortuna Sittard,600
6023,Heracles Almelo,600
6024,De Graafschap,600
6025,Feijenoord,600
6026,DOS Utrecht,600
6027,Telstar,600
6028,PEC Zwolle,600
6029,DWS Amsterdam,600
6030,Fortuna '54,600
6031,FC Den Haag,600
