Club,Year,Transfer_Spend,Transfer_Revenue
FC Barcelona,1996-12-31,16800000.0,18700000.0
Real Madrid,1996-12-31,10100000.0,0.0
Deportivo de La Coruña,1996-12-31,4780000.0,0.0
Athletic Bilbao,1996-12-31,3000000.0,0.0
Valencia CF,1996-12-31,2000000.0,3000000.0
Atlético Madrid,1996-12-31,1820000.0,0.0
Rayo Vallecano,1996-12-31,1200000.0,0.0
Albacete Balompié,1996-12-31,700000.0,0.0
Sporting Gijón,1996-12-31,500000.0,0.0
Real Sociedad,1996-12-31,300000.0,8500000.0
SD Compostela,1996-12-31,250000.0,0.0
Real Oviedo,1996-12-31,210000.0,3000000.0
Real Zaragoza,1996-12-31,,5600000.0
Real Betis Balompié,1996-12-31,,3000000.0
Real Valladolid CF,1996-12-31,,0.0
Sevilla FC,1996-12-31,,0.0
Racing Santander,1996-12-31,,2280000.0
CD Tenerife,1996-12-31,,0.0
RCD Espanyol Barcelona,1996-12-31,,0.0
Celta de Vigo,1996-12-31,,0.0
UD Salamanca,1996-12-31,,0.0
CP Mérida,1996-12-31,,0.0
Real Madrid,1997-12-31,56230000.0,4000000.0
FC Barcelona,1997-12-31,39500000.0,11220000.0
Deportivo de La Coruña,1997-12-31,31200000.0,2500000.0
Sevilla FC,1997-12-31,12770000.0,11000000.0
Real Betis Balompié,1997-12-31,11800000.0,0.0
Valencia CF,1997-12-31,9000000.0,14000000.0
Real Sociedad,1997-12-31,8000000.0,6000000.0
Real Zaragoza,1997-12-31,4099999.9999999995,4000000.0
Atlético Madrid,1997-12-31,3650000.0,6000000.0
Racing Santander,1997-12-31,3000000.0,0.0
CD Tenerife,1997-12-31,3000000.0,0.0
Celta de Vigo,1997-12-31,3000000.0,0.0
RCD Espanyol Barcelona,1997-12-31,2300000.0,0.0
Real Oviedo,1997-12-31,2100000.0,0.0
Sporting Gijón,1997-12-31,1700000.0,0.0
Rayo Vallecano,1997-12-31,1000000.0,0.0
CF Extremadura,1997-12-31,871000.0,0.0
CD Logroñés,1997-12-31,,0.0
Real Valladolid CF,1997-12-31,,0.0
Athletic Bilbao,1997-12-31,,900000.0
SD Compostela,1997-12-31,,0.0
Hércules CF,1997-12-31,,0.0
FC Barcelona,1998-12-31,59200000.0,40800000.0
Atlético Madrid,1998-12-31,43860000.0,210000.0
Real Madrid,1998-12-31,27970000.0,0.0
Valencia CF,1998-12-31,19650000.0,6100000.0
Deportivo de La Coruña,1998-12-31,19600000.0,24250000.0
CD Tenerife,1998-12-31,14000000.0,5300000.0
Athletic Bilbao,1998-12-31,12000000.0,10510000.0
RCD Espanyol Barcelona,1998-12-31,5300000.0,9000000.0
CP Mérida,1998-12-31,5290000.0,4810000.0
Real Valladolid CF,1998-12-31,2000000.0,0.0
Sporting Gijón,1998-12-31,2000000.0,0.0
Real Betis Balompié,1998-12-31,1800000.0,12750000.0
Real Oviedo,1998-12-31,1500000.0,0.0
RCD Mallorca,1998-12-31,1000000.0,100000.0
UD Salamanca,1998-12-31,900000.0,0.0
Celta de Vigo,1998-12-31,800000.0,0.0
Real Zaragoza,1998-12-31,,0.0
Racing Santander,1998-12-31,,0.0
Real Sociedad,1998-12-31,,0.0
SD Compostela,1998-12-31,,0.0
FC Barcelona,1999-12-31,49350000.0,25700000.0
Real Betis Balompié,1999-12-31,39000000.0,0.0
Atlético Madrid,1999-12-31,20800000.0,30360000.0
Deportivo de La Coruña,1999-12-31,14100000.0,0.0
Real Madrid,1999-12-31,9000000.0,12400000.0
CD Tenerife,1999-12-31,8400000.0,0.0
Real Oviedo,1999-12-31,7200000.0,500000.0
Valencia CF,1999-12-31,6500000.0,4620000.0
Villarreal CF,1999-12-31,4500000.0,0.0
Racing Santander,1999-12-31,3690000.0,4000000.0
Real Valladolid CF,1999-12-31,3300000.0,0.0
RCD Mallorca,1999-12-31,2400000.0,6800000.0
UD Salamanca,1999-12-31,2250000.0,0.0
Celta de Vigo,1999-12-31,2000000.0,0.0
Deportivo Alavés,1999-12-31,1150000.0,0.0
Real Zaragoza,1999-12-31,,350000.0
Athletic Bilbao,1999-12-31,,0.0
Real Sociedad,1999-12-31,,0.0
RCD Espanyol Barcelona,1999-12-31,,12250000.0
CF Extremadura,1999-12-31,,3000000.0
Real Madrid,2000-12-31,77500000.0,57710000.0
Deportivo de La Coruña,2000-12-31,30600000.0,20100000.0
FC Barcelona,2000-12-31,22000000.0,35500000.0
Atlético Madrid,2000-12-31,21500000.0,44550000.0
Valencia CF,2000-12-31,17100000.0,8000000.0
Celta de Vigo,2000-12-31,15520000.0,6800000.0
RCD Mallorca,2000-12-31,12600000.0,21700000.0
Racing Santander,2000-12-31,5000000.0,7600000.0
Real Betis Balompié,2000-12-31,3800000.0,0.0
RCD Espanyol Barcelona,2000-12-31,2800000.0,7300000.0
Rayo Vallecano,2000-12-31,2100000.0,0.0
Deportivo Alavés,2000-12-31,2049999.9999999998,0.0
Real Sociedad,2000-12-31,1500000.0,17000000.0
Real Oviedo,2000-12-31,270000.0,7400000.0
Real Zaragoza,2000-12-31,,3900000.0
Real Valladolid CF,2000-12-31,,0.0
Sevilla FC,2000-12-31,,0.0
Athletic Bilbao,2000-12-31,,0.0
Málaga CF,2000-12-31,,0.0
CD Numancia,2000-12-31,,0.0
Real Madrid,2001-12-31,119250000.0,63450000.0
FC Barcelona,2001-12-31,97100000.0,74800000.0
Valencia CF,2001-12-31,58700000.0,61250000.0
Deportivo de La Coruña,2001-12-31,55450000.0,39500000.0
Real Sociedad,2001-12-31,17680000.0,0.0
