Club,Spending,Revenue,Year,Spend,Rev,Spend(m/Thousand),Rev(m/Thousand),Spend_raw,Rev_raw
FC Barcelona,€16.80m,€18.70m,1995-12-31,16.8,18.7,0,0,16800000.0,18700000.0
Real Madrid,€10.10m,-,1995-12-31,10.1,,0,0,10100000.0,0.0
Deportivo de La Coruña,€4.78m,-,1995-12-31,4.78,,0,0,4780000.0,0.0
Athletic Bilbao,€3.00m,-,1995-12-31,3.0,,0,0,3000000.0,0.0
Valencia CF,€2.00m,€3.00m,1995-12-31,2.0,3.0,0,0,2000000.0,3000000.0
Atlético Madrid,€1.82m,-,1995-12-31,1.82,,0,0,1820000.0,0.0
Rayo Vallecano,€1.20m,-,1995-12-31,1.2,,0,0,1200000.0,0.0
Albacete Balompié,€700Th.,-,1995-12-31,700.0,,,0,700000.0,0.0
Sporting Gijón,€500Th.,-,1995-12-31,500.0,,,0,500000.0,0.0
SD Compostela,€250Th.,-,1995-12-31,250.0,,,0,250000.0,0.0
Real Zaragoza,-,€5.60m,1995-12-31,,5.6,0,0,,5600000.0
Real Betis Balompié,-,€3.00m,1995-12-31,,3.0,0,0,,3000000.0
Real Valladolid CF,-,-,1995-12-31,,,0,0,,0.0
Sevilla FC,-,-,1995-12-31,,,0,0,,0.0
Racing Santander,-,€2.28m,1995-12-31,,2.28,0,0,,2280000.0
CD Tenerife,-,-,1995-12-31,,,0,0,,0.0
Real Sociedad,-,€8.50m,1995-12-31,,8.5,0,0,,8500000.0
RCD Espanyol Barcelona,-,-,1995-12-31,,,0,0,,0.0
Celta de Vigo,-,-,1995-12-31,,,0,0,,0.0
UD Salamanca,-,-,1995-12-31,,,0,0,,0.0
Real Oviedo,-,€3.00m,1995-12-31,,3.0,0,0,,3000000.0
CP Mérida,-,-,1995-12-31,,,0,0,,0.0
Real Madrid,€56.23m,€4.00m,1996-12-31,56.23,4.0,0,0,56230000.0,4000000.0
FC Barcelona,€39.50m,€11.22m,1996-12-31,39.5,11.22,0,0,39500000.0,11220000.0
Deportivo de La Coruña,€31.20m,€2.50m,1996-12-31,31.2,2.5,0,0,31200000.0,2500000.0
Real Betis Balompié,€11.80m,-,1996-12-31,11.8,,0,0,11800000.0,0.0
